epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3,0.81645,5.90139,0.02257,0.03082,0.94737,0.24498,0.18578,0.55717,11.7824,0.02201,0.0003125,0.0003125,0.0003125
2,186.814,0.80348,5.20034,0.02273,0.02433,1,0.3014,0.16146,1.20029,12.1771,0.0468,0.000605944,0.000605944,0.000605944
3,281.238,0.80891,4.34624,0.02172,0.20355,0.89474,0.60747,0.45689,0.88957,10.3308,0.03372,0.000867213,0.000867213,0.000867213
4,374.361,0.85141,3.77162,0.02312,0.91639,0.68421,0.82533,0.63343,0.79481,8.72987,0.03013,0.00106437,0.00106437,0.00106437
5,468.309,0.85366,3.25687,0.02288,0.85123,0.68421,0.82108,0.55511,0.99486,7.25712,0.03675,0.0010025,0.0010025,0.0010025
