epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,620.649,0.61982,0.54215,0.01243,0.96722,0.91971,0.97953,0.918,0.40104,0.34597,0.01001,0.000354691,0.000354691,0.000354691
31,641.061,0.61782,0.53869,0.01221,0.97549,0.87158,0.97106,0.91486,0.38396,0.42587,0.00933,0.000338198,0.000338198,0.000338198
32,661.575,0.61469,0.49981,0.01222,0.96688,0.85225,0.96529,0.91129,0.39888,0.41023,0.00991,0.000321705,0.000321705,0.000321705
33,682.239,0.59509,0.47837,0.01155,0.9452,0.89781,0.96773,0.90482,0.39967,0.38384,0.01063,0.000305211,0.000305211,0.000305211
34,702.914,0.58064,0.4829,0.01142,0.96168,0.91585,0.97414,0.91705,0.36305,0.34832,0.00888,0.000288718,0.000288718,0.000288718
35,723.356,0.60167,0.47904,0.01184,0.96955,0.92965,0.97966,0.92204,0.39318,0.34999,0.01002,0.000272224,0.000272224,0.000272224
36,743.752,0.58475,0.47,0.0114,0.96861,0.9009,0.97153,0.93134,0.32575,0.38036,0.00784,0.000255731,0.000255731,0.000255731
37,764.138,0.57987,0.44718,0.01126,0.97384,0.86131,0.96919,0.92652,0.3553,0.39566,0.00883,0.000239238,0.000239238,0.000239238
38,784.597,0.57245,0.45551,0.0113,0.93631,0.94161,0.97948,0.92869,0.33871,0.34054,0.00842,0.000222744,0.000222744,0.000222744
39,804.984,0.57919,0.43412,0.01165,0.91761,0.92701,0.97805,0.92916,0.33951,0.36675,0.0086,0.000206251,0.000206251,0.000206251
40,825.263,0.5697,0.44469,0.01096,0.93233,0.90516,0.9664,0.92105,0.34362,0.44022,0.00844,0.000189757,0.000189757,0.000189757
41,916.198,0.40331,0.24908,0.01165,0.96272,0.90511,0.96337,0.91523,0.35092,0.3773,0.00857,0.000173264,0.000173264,0.000173264
