epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2814,0.8178,6.5762,0.01677,0.50473,0.34307,0.46569,0.3899,0.4827,2.56692,0.011,0.000274615,0.000274615,0.000274615
2,44.6251,0.79448,4.97777,0.01584,0.63026,0.72993,0.73016,0.62067,0.61151,1.33784,0.01536,0.000541347,0.000541347,0.000541347
3,66.5537,0.83548,3.88825,0.01717,0.77588,0.72263,0.81344,0.68126,0.68204,1.0065,0.01748,0.000797083,0.000797083,0.000797083
4,88.0104,0.84202,3.03294,0.01708,0.84615,0.8029,0.87904,0.6873,0.81659,0.963,0.02339,0.00078352,0.00078352,0.00078352
5,109.421,0.84287,2.43712,0.01706,0.94823,0.80217,0.93061,0.78663,0.63604,0.70266,0.01624,0.000767026,0.000767026,0.000767026
6,130.638,0.81976,1.99694,0.01674,0.87055,0.78542,0.89819,0.79425,0.54704,0.69538,0.01378,0.000750533,0.000750533,0.000750533
7,151.113,0.81271,1.67518,0.0168,0.88664,0.75182,0.90351,0.76999,0.62366,0.74115,0.01576,0.00073404,0.00073404,0.00073404
8,172.371,0.80252,1.42675,0.01644,0.88059,0.83212,0.91089,0.7994,0.60798,0.66219,0.01618,0.000717546,0.000717546,0.000717546
9,193.373,0.8089,1.28239,0.01647,0.88901,0.81854,0.92121,0.79997,0.53843,0.61564,0.01295,0.000701053,0.000701053,0.000701053
10,214.212,0.77923,1.17037,0.01568,0.92086,0.83212,0.92529,0.80979,0.60596,0.59672,0.01456,0.000684559,0.000684559,0.000684559
11,234.835,0.76739,1.07423,0.0153,0.83339,0.79562,0.91016,0.81881,0.52507,0.59552,0.01231,0.000668066,0.000668066,0.000668066
12,255.109,0.77713,0.99382,0.01605,0.87176,0.82482,0.92907,0.8056,0.61346,0.67818,0.01521,0.000651573,0.000651573,0.000651573
13,274.845,0.76203,0.92516,0.01567,0.89696,0.88959,0.95861,0.86168,0.48131,0.508,0.01202,0.000635079,0.000635079,0.000635079
14,294.919,0.73921,0.89918,0.01499,0.92954,0.89781,0.96778,0.87386,0.49646,0.40992,0.01202,0.000618586,0.000618586,0.000618586
15,315.028,0.73668,0.8867,0.01461,0.91942,0.91619,0.96363,0.87575,0.49017,0.4484,0.01232,0.000602092,0.000602092,0.000602092
16,335.116,0.74948,0.84629,0.01544,0.90544,0.87591,0.95481,0.86405,0.50477,0.51074,0.01279,0.000585599,0.000585599,0.000585599
17,355.059,0.70961,0.75936,0.014,0.89086,0.8937,0.94859,0.87632,0.42423,0.47089,0.0104,0.000569106,0.000569106,0.000569106
18,375.146,0.72176,0.81772,0.01422,0.92512,0.89781,0.96034,0.85658,0.5131,0.4651,0.01274,0.000552612,0.000552612,0.000552612
19,395.064,0.70796,0.75882,0.01439,0.94737,0.78835,0.90807,0.84185,0.43896,0.75896,0.01064,0.000536119,0.000536119,0.000536119
20,415.062,0.72608,0.74248,0.01459,0.89785,0.83409,0.92179,0.84558,0.4644,0.64737,0.01135,0.000519625,0.000519625,0.000519625
21,435.387,0.7009,0.66872,0.01372,0.92418,0.88967,0.96343,0.89485,0.41329,0.39743,0.01046,0.000503132,0.000503132,0.000503132
22,455.447,0.65956,0.64567,0.01307,0.96153,0.85401,0.96287,0.86277,0.47105,0.47862,0.01198,0.000486639,0.000486639,0.000486639
23,475.583,0.68664,0.6624,0.0135,0.97261,0.84672,0.96316,0.89088,0.41964,0.44143,0.01077,0.000470145,0.000470145,0.000470145
24,495.947,0.65047,0.5888,0.01291,0.92755,0.86131,0.95261,0.87403,0.46251,0.45428,0.01174,0.000453652,0.000453652,0.000453652
25,517.162,0.65564,0.58192,0.01293,0.99119,0.82101,0.95302,0.89261,0.41603,0.49952,0.01046,0.000437158,0.000437158,0.000437158
26,537.862,0.64937,0.57934,0.01286,0.96763,0.87278,0.96647,0.91029,0.41051,0.43798,0.01031,0.000420665,0.000420665,0.000420665
27,558.635,0.67115,0.56267,0.01311,0.94129,0.84672,0.95121,0.87923,0.42116,0.52048,0.01037,0.000404172,0.000404172,0.000404172
28,579.199,0.63548,0.56222,0.0125,0.93571,0.84989,0.94274,0.87976,0.40595,0.57875,0.01052,0.000387678,0.000387678,0.000387678
29,599.914,0.62495,0.55125,0.01237,0.93383,0.83942,0.9581,0.9032,0.40654,0.47446,0.01071,0.000371185,0.000371185,0.000371185
